#{"t_start": 1740679402.3794188, "env_id": "Pong-v4"}
r,l,t
-21.0,310,1706.310723
-21.0,299,1708.782188
-21.0,291,1711.197605
-21.0,301,1713.621602
-20.0,342,1716.469652
-21.0,272,1718.689951
-20.0,315,1721.227067
-20.0,316,1723.8504
-19.0,310,1726.326495
-20.0,283,1728.723938
-20.0,283,1731.029969
-21.0,301,1733.523461
-19.0,321,1736.162153
-21.0,272,1738.44248
-20.0,290,1740.793965
-20.0,366,1743.854466
-21.0,276,1746.065506
-21.0,268,1748.333341
-20.0,275,1750.570678
-21.0,298,1753.048362
-21.0,277,1755.259077
-21.0,328,1757.991343
-19.0,306,1760.476909
-21.0,268,1762.625374
-20.0,369,1765.668471
-21.0,265,1767.811115
-20.0,294,1770.243129
-20.0,374,1773.258993
-20.0,292,1775.674005
-20.0,325,1778.335144
-20.0,275,1780.661285
-20.0,349,1783.45438
-21.0,304,1785.990049
-21.0,291,1788.368747
-21.0,285,1790.758957
-21.0,300,1793.213309
-21.0,250,1795.284056
-20.0,274,1797.522401
-20.0,293,1799.955974
-20.0,321,1802.580216
-21.0,277,1804.89301
-21.0,249,1806.935409
-20.0,270,1809.125452
-21.0,311,1811.666129
-21.0,321,1814.272559
-21.0,248,1816.358613
-20.0,272,1818.566796
-21.0,253,1820.823123
-21.0,261,1823.166365
-21.0,291,1825.583883
-19.0,345,1828.412369
-21.0,276,1830.745224
-20.0,328,1833.395235
-21.0,278,1835.717465
-21.0,292,1838.076745
-20.0,294,1840.459661
-21.0,270,1842.732329
-20.0,309,1845.208589
-20.0,295,1847.665132
-21.0,315,1850.272324
-20.0,294,1852.764203
-19.0,344,1855.546773
-21.0,270,1857.818082
-21.0,272,1860.108906
-21.0,318,1862.75476
-21.0,318,1865.324225
-20.0,294,1867.850175
-21.0,292,1870.222779
-21.0,271,1872.510814
-21.0,278,1874.751655
-21.0,276,1876.964396
-20.0,282,1879.316531
-20.0,327,1882.204217
-21.0,274,1884.821653
-21.0,308,1887.371226
-21.0,306,1890.06877
-21.0,310,1892.631932
-21.0,255,1894.896375
-20.0,349,1897.716075
-21.0,249,1899.94628
-18.0,391,1903.248889
-21.0,298,1905.70984
-21.0,260,1907.794281
-21.0,273,1910.254024
-20.0,320,1912.961282
-21.0,293,1915.416781
-19.0,316,1918.002613
-21.0,297,1920.510395
-20.0,288,1922.837207
-20.0,324,1925.477508
-21.0,248,1927.508946
-20.0,292,1929.949922
-21.0,254,1931.990004
-20.0,307,1934.513808
-21.0,273,1936.77402
-20.0,301,1939.196534
-21.0,279,1941.519746
-21.0,268,1943.755843
-21.0,307,1946.303381
-21.0,329,1948.972234
-21.0,268,1951.227542
-21.0,294,1953.564889
-21.0,265,1955.777588
-21.0,288,1958.128236
-21.0,334,1960.920337
-20.0,279,1963.175266
-20.0,339,1965.945297
-21.0,294,1968.379099
-21.0,312,1970.928108
-21.0,267,1973.185771
-21.0,276,1975.375891
-19.0,351,1978.246048
-21.0,266,1980.407989
-21.0,289,1982.83643
-20.0,324,1985.488548
-21.0,282,1987.854832
-20.0,313,1990.346143
-21.0,253,1992.462871
-20.0,346,1995.238006
-21.0,318,1997.895142
-21.0,281,2000.16885
-20.0,300,2002.631121
-21.0,287,2004.979163
-21.0,276,2007.1883
-21.0,247,2009.289078
-21.0,250,2011.350632
-21.0,320,2014.027087
-21.0,270,2016.194556
-21.0,275,2018.489692
-20.0,309,2020.995746
-19.0,310,2023.546181
-21.0,266,2025.701649
-21.0,317,2028.298211
-18.0,359,2031.167962
-21.0,311,2033.740303
-20.0,272,2036.000938
-21.0,252,2038.044891
-21.0,271,2040.285491
-21.0,309,2042.790058
-20.0,305,2045.346268
-20.0,296,2047.734681
-19.0,310,2050.325223
-21.0,291,2052.644418
-20.0,301,2055.182014
-21.0,274,2057.40501
-21.0,348,2060.274411
-21.0,280,2062.531714
-20.0,272,2065.07344
-20.0,276,2067.537631
-20.0,306,2070.058596
-21.0,285,2072.373126
-19.0,326,2075.09078
-20.0,282,2077.394172
-18.0,373,2080.485846
-20.0,310,2082.991967
-20.0,290,2085.351425
-21.0,255,2087.512986
-19.0,333,2090.201331
-21.0,320,2093.110185
-21.0,275,2095.363611
-20.0,290,2097.776004
-21.0,283,2100.194835
-20.0,374,2103.405395
-21.0,245,2105.428561
-21.0,373,2108.504555
-20.0,331,2111.145504
-21.0,297,2113.606198
-20.0,354,2116.456745
-19.0,344,2119.307881
-19.0,324,2121.971337
-20.0,303,2124.474868
-21.0,275,2126.700221
-20.0,293,2129.18872
-21.0,258,2131.272846
-21.0,259,2133.447981
-19.0,327,2136.356059
-20.0,281,2138.713338
-20.0,293,2141.073058
-21.0,303,2143.573277
-20.0,285,2145.864314
-20.0,313,2148.472364
-21.0,292,2150.820337
-20.0,289,2153.197045
-20.0,295,2155.624425
-21.0,265,2157.787831
-21.0,294,2160.242225
-19.0,345,2163.000712
-21.0,262,2165.1502
-21.0,306,2167.626196
-21.0,257,2169.797158
-20.0,326,2172.401747
-19.0,345,2175.277337
-20.0,305,2177.706426
-21.0,303,2180.223353
-21.0,270,2182.421676
-21.0,271,2184.778726
-20.0,285,2187.086177
-20.0,334,2189.910055
-21.0,263,2192.064057
-21.0,247,2194.114988
-21.0,272,2196.432078
-19.0,339,2199.205752
-21.0,253,2201.309483
-20.0,289,2203.66574
-19.0,345,2206.540103
-21.0,296,2208.953579
-19.0,407,2212.318677
-21.0,274,2214.477284
-21.0,276,2216.781505
-21.0,293,2219.173488
-21.0,265,2221.380271
-21.0,256,2223.484077
-20.0,283,2225.774071
-21.0,273,2228.07083
-20.0,278,2230.336304
-17.0,368,2233.402675
-21.0,258,2235.468235
-19.0,302,2237.964103
-20.0,362,2240.911724
-21.0,258,2243.036779
-20.0,334,2245.881077
-21.0,296,2248.572878
-21.0,291,2250.923454
-21.0,274,2253.256968
-21.0,267,2255.380137
-21.0,261,2257.595745
-18.0,361,2260.56269
-20.0,327,2263.270832
-20.0,325,2265.88393
-18.0,399,2269.214695
-20.0,280,2271.51088
-21.0,254,2273.625814
-19.0,332,2276.255645
-21.0,309,2278.819884
-21.0,253,2280.884807
-20.0,310,2283.415607
-21.0,284,2285.719663
-21.0,274,2287.912866
-21.0,263,2290.130384
-21.0,304,2292.551056
-21.0,249,2294.666871
-21.0,272,2296.859766
-21.0,256,2299.026079
-21.0,293,2301.427825
-21.0,281,2303.698801
-21.0,249,2305.770017
-21.0,335,2308.472118
-21.0,266,2310.695917
-21.0,287,2313.029857
-21.0,296,2315.510585
-21.0,314,2318.102056
-20.0,300,2320.573622
-18.0,381,2323.643317
-20.0,327,2326.346111
-20.0,271,2328.531023
-21.0,248,2330.60864
-20.0,279,2332.848894
-21.0,306,2335.361394
-21.0,252,2337.408376
-21.0,309,2339.926161
-21.0,266,2342.104874
-21.0,270,2344.307576
-21.0,267,2346.519997
-19.0,345,2349.284312
-21.0,269,2351.531524
-20.0,311,2354.022902
-21.0,301,2356.555624
-19.0,360,2359.456496
-20.0,328,2362.147488
-21.0,272,2364.346094
-21.0,268,2366.565334
-20.0,309,2369.067002
-21.0,265,2371.231053
-20.0,319,2373.837498
-19.0,342,2376.694267
-21.0,274,2378.905463
-21.0,271,2381.071029
-21.0,341,2383.860436
-21.0,292,2386.193446
-21.0,269,2388.423964
-21.0,296,2390.809501
-21.0,314,2393.406901
-21.0,308,2395.882641
-21.0,300,2398.344512
-21.0,293,2400.713398
-21.0,320,2403.424738
-20.0,288,2405.812851
-20.0,372,2408.90159
-20.0,320,2411.453012
-21.0,251,2413.543208
-20.0,338,2416.317559
-20.0,298,2418.812604
-21.0,251,2420.872955
-19.0,346,2423.718449
-20.0,311,2426.243124
-21.0,295,2429.000201
-19.0,329,2431.773313
-21.0,268,2434.034222
-21.0,301,2436.511967
-21.0,292,2438.948923
-21.0,291,2441.381069
-20.0,309,2443.886885
-21.0,263,2446.110499
-20.0,302,2448.552018
-21.0,312,2451.130596
-20.0,334,2453.827987
-19.0,354,2456.732162
-20.0,298,2459.158996
-20.0,331,2461.884796
-20.0,300,2464.300602
-20.0,319,2466.945674
-21.0,258,2469.056243
-20.0,316,2471.67721
-20.0,319,2474.287642
-21.0,253,2476.398163
-19.0,336,2479.113271
-21.0,303,2481.57415
-21.0,278,2483.828542
-18.0,348,2486.693202
-19.0,364,2489.709255
-21.0,261,2491.910279
-21.0,280,2494.175839
-21.0,279,2496.521676
-21.0,248,2498.573886
-19.0,329,2501.241168
-20.0,305,2503.779558
-21.0,320,2506.338278
-21.0,266,2508.559841
-21.0,271,2510.712848
-20.0,326,2513.451301
-20.0,288,2515.788558
-21.0,267,2518.026119
-21.0,290,2520.369747
-21.0,287,2522.753851
-21.0,267,2524.914908
-21.0,254,2526.934383
-20.0,301,2529.45815
-21.0,274,2531.698115
-21.0,268,2533.903074
-19.0,350,2536.726473
-21.0,274,2539.02538
-21.0,283,2541.34649
-21.0,258,2543.503845
-21.0,308,2546.044437
-20.0,297,2548.579769
-20.0,318,2551.152874
-21.0,312,2553.730667
-21.0,267,2555.907883
-21.0,254,2557.992299
-21.0,344,2560.84921
-20.0,307,2563.323231
-21.0,249,2565.44964
-21.0,266,2567.569106
-21.0,262,2569.780285
-21.0,299,2572.173742
-21.0,262,2574.343777
-20.0,285,2576.645514
-21.0,302,2579.139709
-21.0,315,2581.775438
-21.0,284,2584.120106
-20.0,286,2586.538277
-21.0,285,2588.858292
-20.0,325,2591.588841
-21.0,273,2593.812288
-21.0,314,2596.402085
-20.0,277,2598.674269
-21.0,273,2600.973094
-20.0,324,2603.603312
-21.0,297,2606.094927
-21.0,266,2608.264093
-20.0,292,2611.020023
-20.0,288,2613.426717
-20.0,285,2615.764884
-21.0,317,2618.379563
-21.0,288,2620.704935
-19.0,381,2623.845424
-20.0,319,2626.49035
-20.0,330,2629.155699
-21.0,279,2631.423753
-21.0,306,2633.948791
-21.0,329,2636.675143
-21.0,288,2639.076508
-21.0,309,2641.569274
-20.0,348,2644.428444
-21.0,243,2646.404354
-21.0,269,2648.678677
-20.0,294,2651.145317
-21.0,262,2653.377769
-20.0,320,2655.993737
-20.0,370,2659.036354
-20.0,322,2661.660198
-21.0,296,2664.165117
-20.0,304,2666.60892
